PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
562,99357038,46902903,COC1=CC(=CC(=C1)NC(=O)C2=CSC(=N2)N)C(=O)NC3=CC=CC(=C3)C(F)(F)F.C(=O)(C(F)(F)F)O,Active,48,,,=,16,4.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16,4.796,1.007,-1.623,-100,12,-42.833,16,16,-2,-16.667,-6.167,2.167,8.333,-38.833,-42.833,
563,47202958,816945,CCN(CC)CCN1C2=CC=CC=C2C3=NC4=CC=CC=C4N=C31,Active,50,,,=,11.35,4.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.35,4.945,1.315,10.774,-100,13,-61.538,16,16,3.846,11.538,26.923,0,-3.846,-15.385,-61.538,
564,26725934,1971610,CC(=O)NC(=S)NC1=CC=C(C=C1)NC(=S)NC(=O)/C=C/C2=CC=CO2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.08695,2.08695,14,13.043,0.21,50,-7.826,-8.174,13.043,4,8.87,0.522,0.522,12.174
565,56463650,3693427,C1=CC=C2C(=C1)N=CC(=N2)[N-]S(=O)(=O)C3=CC=C(C=C3)N.[Na+],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.94507,-4.94507,14,-11.264,0.0235,50,-11.264,-0.549,3.022,-7.967,-7.143,-7.143,0,-7.143
566,26728258,2816767,C1CCC(CC1)N2C(=NNC2=S)C3=C(SC(=C3)C4=CC=CC=C4)N,Active,56,,,=,2.45,5.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.45,5.611,4,-11.257,-71.159,14,-72.381,5.6,16,-13.81,-13.81,-3.095,-6.429,-23.81,-72.381,-59.048,
567,99355952,277056,COC1=C(C(=C2C(=C1)C(=O)C3=CC(=C(C=C32)Br)N)Br)N,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.979,-9.18,-100,15,-51.19,50,50,-20.714,0,-7.143,-7.381,-20.714,-13.81,-33.333,-51.19
568,56463645,3038,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,Active,73,,,=,0.0468,7.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,73,,=,0.0468,7.330,0.714,0,-50,14,-51.923,16,50,-14.835,-36.813,-23.077,-44.78,-48.077,-44.505,-51.923,-50
569,51085586,16832364,CN1C(=O)C(=CN=C1SCC(=O)NCC2=CC3=C(C=C2)OCO3)C(=O)NC4=CC(=CC=C4)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.08333,2.08333,16,66.667,50,50,-16.667,-12.5,-4.167,-4.167,-4.167,-12.5,4.167,66.667
570,85268416,2340925,COC1=CC=CC(=C1)NC(=O)CN2C(=O)C3(CCCCCC3)NC2=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.11113,-5.11113,15,-21.429,50,50,3.333,-6.905,-7.143,-6.905,-3.095,-10.476,3.571,-21.429
571,87342927,9550693,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)C4=CC(=C(C=C4)OC)OC)C(=C2)C,Active,58,,,=,1.61,5.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.61,5.793,4,3.67,-71.024,15,-79.762,5.6,50,10.238,10.238,-6.905,-0.476,-41.429,-79.762,-72.619,-50
572,87349381,16196135,CN(C)C1=CC=C(C=C1)[N+]2=C(C=C(C=C2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,12.2449,12.2449,14,83.095,16,50,-13.571,3.571,-10.238,-20.714,-28.571,31.19,83.095,53.333
573,87334312,6540240,COC1=C(C=C(C=C1)C2=CC(=CC=C2)C3=CC(=O)OC4=C3C(=CC(=C4)OC)OC)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.648069,-0.648069,13,15.385,5.6,50,-2.381,7.692,7.692,-10.073,-6.227,15.385,1.465,-2.381
574,87335404,165441,COC1=CC=C(C=C1)C2=C(C(=C(C=C2)OC)OC)OC,Active,54,,,=,3.92,5.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.92,5.407,1.878,2.724,-100,14,-100,16,16,1.993,2.174,6.341,-1.993,-18.841,-61.594,-100,
575,24797759,2197251,CC1=CC(=C(C=C1)OCC(=O)NC2=CC=C(C=C2)CN3CCCCC3)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,16.7702,16.7702,7,30.435,5.6,50,13.043,,13.043,4.348,13.043,30.435,21.739,21.739
576,56315816,24979143,CCC1=C(SC(=C1C(=O)OCC)NC(=O)CN2C(=O)C3(CCC(CC3)C)NC2=O)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.79593,-4.79593,14,-20.714,16,50,3.81,-0.238,6.905,-6.667,-6.667,-10,-20.714,-6.667
577,24814982,2149567,COC(=O)COC1=CC=CC2=C1C=CN(C2=O)CC(=O)NCC3=CC=CC=C3,Active,53,,,=,5.25,5.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.25,5.280,3.053,9.662,-60,14,-56.41,16,16,7.179,0,10,21.538,7.179,-28.718,-56.41,
578,103162591,49795178,COC1=CC=C(C=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=C(C=C4)OC)OC,Active,47,,,=,22.27,4.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,22.27,4.652,4,0,-100,12,-120,50,50,7.905,10.381,9.619,-18.381,-64,4.762,-14.286,-120
579,49737144,135541766,C1=CC=C2C(=C1)C=CC(=C2/C=N/NC(=O)C3=CC=C(O3)Br)O,Active,52,,,=,6.34,5.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.34,5.198,1.645,-4.289,-100,16,-102.821,50,50,13.846,-13.846,-7.179,-6.154,-25.897,-38.718,-88.462,-102.821
580,47202801,675077,C1=CC=C2C(=C1)C=CC=C2C(=O)NC3=NC=C(C=C3)Cl,Active,51,,,=,8.46,5.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.46,5.073,4,-9.05,-80,14,-84.615,16,16,0.513,0,-3.846,-24.872,-27.692,-17.692,-84.615,
581,49670702,24761599,CCCN1C2=C(C=C(C=C2)NC(=O)CC)N=C1CN3CCN(CC3)C(=O)OCC,Active,54,,,=,4.34,5.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.34,5.363,1.635,14.255,-80,14,-69.907,16,16,20.37,8.333,25,-2.778,0.463,-43.982,-69.907,
582,85267942,4787471,CCOC1=C(C=C(C=C1)C(=O)NCC(=O)NNC(=O)C2=C(OC(=C2)C)C)OCC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.7619,4.7619,14,12.5,0.21,50,4.167,8.333,12.5,8.333,0,0,4.167,0
583,24787429,135460575,CC1=C(C(=NN1C2=CC=CC=C2)C)C3=NNC(=C3)C(=O)N/N=C/C4=CC(=C(C=C4)O)OC,Active,51,,,=,7.78,5.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.78,5.109,1.662,-12.187,-80,12,-36.813,5.6,5.6,-19.597,-17.766,-1.465,-10.073,-19.597,-36.813,,
584,47204543,23724431,CC(C)N1C=C(C2=CC=CC=C21)/C=C/C3=CC=[N+](C=C3)C.[I-],Active,46,,,=,27.2,4.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,27.2,4.565,0.98,-1.792,-150,8,-169.565,50,50,-4.348,4.348,-4.348,-13.044,-4.348,-30.435,-56.522,-169.565
585,49719959,20936482,CC1=NOC(=C1)C2=CC(=C(C=C2)C(C)C)S(=O)(=O)NCC3=CC=C(C=C3)OC,Active,57,,,=,2.16,5.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.16,5.666,3.399,-1.913,-80,12,-77.083,5.6,5.6,0.625,-3.125,-2.917,-2.708,-29.167,-77.083,,
586,24811494,135460226,CCCCC(=NCCC1=C(NC2=CC=CC=C21)C)C3=C(CC(CC3=O)C4=CC=CC=C4)O,Active,54,,,=,3.92,5.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.92,5.407,0.526,25,-100,12,-59.167,5.6,16,21.667,5.833,,5.833,-32.5,-59.167,-45,
587,56422229,28767,CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-8.64137,-8.64137,11,-15.385,50,50,-14.286,,-7.418,-7.418,0,-7.143,-10.714,-15.385
588,89853238,3034180,C1=CC=C(C=C1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=CC=C3,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,1.364,-11.661,-100,15,-48.148,50,50,-5.093,-12.963,-8.796,-20.833,-13.889,-17.593,-24.537,-48.148
589,26667076,3343493,C1=CC=C(C=C1)N2C(=C(C(=N2)N)N=NC3=CC(=CC=C3)F)N,Active,57,,,=,2.04,5.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.04,5.690,3.005,4.657,-80,12,-77.5,5.6,5.6,6.25,6.667,3.542,0,-28.542,-77.5,,
590,74373799,26873195,CC(C)(C)C1=CC=C(C=C1)OCCC(=O)NNC(=O)C2=NN(C(=O)C3=CC=CC=C32)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.170056,0.170056,14,14.286,16,50,-10,-7.143,0,0.238,14.286,0.238,14.286,3.571
591,99358884,46903633,C1CN(CCC1NCCCN2C=CC(=NC2=O)NC(=O)OCC3=CC=CC=C3)CC4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.17582,4.17582,13,26.667,50,50,6.667,6.905,-3.095,13.333,-3.333,0,0,26.667
592,26731166,2745443,CCOC(=O)C1=C(SC(=N1)C)C2=CC=NN2S(=O)(=O)C3=CC=CC=C3C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.76542,8.76542,15,15.278,50,50,-4.167,7.407,12.037,7.407,11.574,7.87,12.037,15.278
593,26666155,304907,CCOC(=O)C1=CC=C(C=C1)NC2=C(C(=C(S2)C(=O)C3=CC(=CC=C3)[N+](=O)[O-])N)C#N,Active,57,,,=,1.84,5.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,1.84,5.735,4,4.501,-63.386,8,-81.818,50,50,9.091,0,0,9.091,-27.273,-72.727,-36.364,-81.818
594,26725481,16759806,COC(=O)[C@@H]1C[C@]23[C@H](C(=C(N=C2N1C(=O)C4=CC=CS4)C(=O)OC)C(=O)OC)N(C5=CC=CC=C35)CC=C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-19.5604,-19.5604,13,-34.524,5.6,50,-10.476,0,-14.286,-13.333,-34.524,-34.524,-27.381,-6.429
595,99495529,46948685,CC(C)NC1=NC2=C(C(=N1)NC3=C(C=C(C=C3)Cl)F)SC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-16.4103,-16.4103,13,-33.333,5.6,50,-10.714,-7.381,-10.714,-24.048,-23.81,-33.333,-26.667,0
596,26666578,700473,CCOC(=O)C1=C(N=C(S1)NC2=NC(=CC(=N2)C)C)C,Active,49,,,=,11.5,4.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.5,4.939,0.683,15.141,-100,15,-64.286,50,50,3.571,17.857,14.286,0,-10.714,-28.571,-53.571,-64.286
597,85269944,4853313,CC1=C(C=C(C=C1)NC(=O)C2=C(ON=C2C)C)S(=O)(=O)N3CCOCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.19293,3.19293,16,19.022,50,50,2.174,1.993,6.159,-10.507,-6.341,2.174,10.87,19.022
598,85199128,2441858,CC1=C(C=C(C=C1)C(=O)N2CCCCCC2)S(=O)(=O)NC3=CC=CC=C3OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-10.2778,-10.2778,12,-20.833,0.0235,50,-20.833,-20,0.833,-20,-16.667,-16.667,10,20
599,56463043,68844,CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,Active,74,,,=,0.0398,7.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,74,,=,0.0398,7.400,2.2,0,-50,16,-50,5.6,50,-11.538,-38.462,-46.154,-50,-46.154,-50,-50,-46.154
600,24791355,3466708,CC1=C2C(=CC=C1)C(=C(N2)O)N=NC3=C(C=C(C=C3)S(=O)(=O)NC4=CC=C(C=C4)Cl)[N+](=O)[O-],Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.993,10.247,-100,14,-25,50,50,25,8.333,4.167,-4.167,0,8.333,-16.667,-25
601,49668205,24761342,CCOC(=O)C1=C(C=C(C=C1)C2=C(ON=C2C3=CC(=C(C(=C3)OC)OC)OC)C)F,Active,59,,,=,1.2,5.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.2,5.921,3.211,-5.476,-80,10,-63.958,1.8,1.8,7.083,-12.708,-2.917,-12.917,-63.958,,,
602,92764864,395179,CCOC(=O)C1=[N+](N2C3=CC=CC=C3C(=CC4=CC=C(C=C4)N(C)C)C2=C1)C.C(F)(F)(F)S(=O)(=O)[O-],Active,53,,,=,5.09,5.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.09,5.293,0.5,6.26,-100,14,-62.609,5.6,16,-4.522,0.522,-3.826,-20.522,-54.261,-62.609,-32.87,
603,49731728,20959110,CC1=CC(=CC=C1)NS(=O)(=O)C2=CC=C(C=C2)C3=CN=C(O3)C4CC4,Active,58,,,=,1.59,5.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.59,5.799,2.002,2.92,-51.874,13,-55.333,50,50,-2,2,12,-2.167,-30.333,-42.833,,-55.333
604,24835421,135512264,CC1=CC(=C(N1CC2=CC=CC=C2Cl)C)C3=NNC(=NCCCOC)SC3,Active,55,,,=,3.3,5.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.3,5.481,2.178,9.528,-100,6,-73.913,5.6,5.6,4.348,13.043,13.043,4.348,-13.044,-73.913,,
605,17513769,135517139,CCN1C2=CC=CC=C2N=C1SCC(=O)N/N=C/C3=CC(=C(C=C3)O)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.64836,-1.64836,13,-14.286,50,50,7.143,0,0,0,-3.571,0,0,-14.286
606,17512438,6875000,C1CC1C2=NC3=CC=CC=C3C(=C2)C(=O)N/N=C/C4=CC=CS4,Active,52,,,=,6.27,5.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.27,5.203,2.385,8.211,-80,14,-69.524,16,16,10.238,7.143,7.381,4.048,7.143,-30.952,-69.524,
607,49642560,929513,CN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC(=C(C(=C3)OC)OC)OC,Active,54,,,=,3.9,5.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.9,5.409,1.454,3.539,-80,14,-72.857,16,16,0.238,-3.81,10.952,6.905,-24.048,-44.762,-72.857,
608,49665294,899162,CC1=CC=C(C=C1)NC(=O)C2=CC(=NC3=CC=CC=C32)OC,Active,59,,,=,1.26,5.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.26,5.900,4,-10.871,-80,10,-71.304,1.8,1.8,-20.522,-7.826,-17.217,0.174,-71.304,,,
609,103074338,49789746,CC(C)NC1=NC2=C(C(=N1)NC3=CC=C(C=C3)C#N)SC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-19.7778,-19.7778,15,-40,16,50,-0.476,-30.952,-14.286,-24.048,-37.619,-17.381,-40,-3.571
610,49641855,3146754,CC(C)(C)N(CC1=CC=CC=C1)C(=O)C2=CC3=CC=CC=C3O2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.28204,-3.28204,12,-16,50,50,8,7.846,0,-15.385,-15.692,-8,7.692,-16
611,49665951,11476710,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=N[N-]N=N4)CO)Cl.[K+],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.15871,4.15871,15,17.143,16,50,-10.238,0.238,-6.905,7.143,6.905,0,17.143,16.905
612,57258418,7767845,CC1=CC=CC=C1OCC(=O)OCC(=O)NCCC2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,12.2507,12.2507,13,19.444,1.8,50,8.796,0,0,16.204,19.444,14.815,12.037,15.741
613,56422784,16211935,C[C@@H]1[C@@H]([C@@H](C[C@H](O1)O[C@@H]2C[C@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,Active,51,,,=,7.44,5.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.44,5.128,4,0,-400,7,-436.364,16,16,0,36.364,0,-63.636,-27.273,-81.818,-436.364,
614,57268189,17218162,CCC1=NOC(=C1C(=O)NC2=NC(=C(S2)C(=O)OCC)C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.33332,8.33332,14,25,16,50,4.167,0,16.667,-4.167,8.333,12.5,25,16.667
615,26670764,3994853,CC(C)OC1=NC=NC2=C1NC3=CC=CC=C32,Active,50,,,=,9.38,5.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.38,5.028,4,1.852,-72.941,15,-71.795,16,50,0.321,15.705,-8.333,0,-8.333,0,-71.795,-67.949
616,24820082,54687304,COC(=O)CC1=C(C=CN(C1=O)CC2=CC(=C(C=C2)Cl)Cl)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.33786e-06,-3.33786e-06,16,-9.091,16,50,0,4.545,4.545,0,4.545,0,-9.091,-4.545
617,49724591,2655562,C1CN(CCN1CC(=O)NC2=CC=CC=C2Cl)S(=O)(=O)C3=CC=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-7.4359,-7.4359,14,-20,0.21,50,-7.692,-4.359,-20,-3.846,-13.333,7.692,0.513,-17.179
618,17408232,1457596,CC1=CC=CC=C1NC(=O)N(CC2=CC=CO2)CC3=CC4=CC(=CC(=C4N=C3Cl)C)C,Active,55,,,=,2.87,5.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,2.87,5.542,4,1.583,-62.042,13,-65.238,5.6,16,0.238,0.238,0,3.809,-3.571,-65.238,-50,
619,57257862,25161995,CCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)/C=C/C3=C(N(N=C3C)C4=CC=CC=C4)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.78571,1.78571,8,14.286,5.6,50,7.143,0,0,-7.143,-7.143,14.286,0,7.143
620,51086942,18578601,CCN(CC)CCN1C2=C(CCC2)C(=NC1=O)SCC(=O)NC3=CC(=C(C=C3)F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.14285,7.14285,8,28.571,0.0235,50,28.571,14.286,21.429,14.286,7.143,-14.286,-7.143,-7.143
621,26670094,16244818,C1=CC(=CC=C1NC(=O)CN2C=CSC2=N)S(=O)(=O)N.Cl,Active,48,,,=,14.87,4.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.87,4.828,0.725,17.235,-100,16,-69.928,50,50,19.022,23.37,6.341,-6.341,2.174,-18.841,-40.58,-69.928
622,56463075,5280442,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,1.71,2.425,-100,15,-35.833,50,50,-13.333,4.167,0,16.667,0,9.167,-13.333,-35.833
623,57257896,25162022,CCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)CSC3=NN=C(N3C4=CC=C(C=C4)C)C,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,1.287,4.038,-100,15,-38.462,50,50,-7.692,-7.692,15.385,15.385,7.692,-15.385,-7.692,-38.462
624,93576596,20833557,C1CN(CCN1)C2=NC3=CC=CC=C3C=C2.C(=C\C(=O)[O-])\C(=O)[O-],Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,2.142,8.276,-100,13,-33.333,50,50,4.167,4.167,15,10.833,,2.5,1.667,-33.333
625,49646323,1801772,CC1=C(C(=O)OC2=C1C=CC(=C2C)OCC3=CC=CC=C3Cl)CCC(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.73627,-3.73627,15,-14.835,1.8,50,-5.311,-8.242,-5.311,3.297,-14.835,-6.227,4.762,6.227
626,57262433,4850106,CC(C)C1=CC=C(C=C1)CN2CCN(CC2)S(=O)(=O)C3=CC=C(S3)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.95081,3.95081,14,23.809,16,50,-2.381,-1.465,10.989,-4.762,1.465,-2.381,23.809,11.905
627,24790711,857972,CC(C)(C)C1=CSC(=N1)NC(=O)CC2=CC=CS2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,9.99999,9.99999,15,16.667,1.8,50,16.667,12.5,12.5,8.333,16.667,16.667,8.333,-8.333
628,24814221,1522537,CC1=CC=C(C=C1)N2C=C(C3=C2N=CN=C3N4CCOCC4)C5=CC=CC=C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.84782,8.84782,16,53.913,50,50,7.826,4.174,4.174,-3.826,-3.478,3.826,4.174,53.913
629,99356259,285026,C1CN2C3=CC=CC=C3C4=CC=CC=C4C2=N1,Active,55,,,=,2.93,5.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,2.93,5.533,3.127,-0.323,-60,11,-53.442,5.6,5.6,2.174,8.333,-1.993,-6.341,-10.507,-53.442,,
630,22403681,9565797,CCN(CC1=CC=CC=C1)C2=CC=C(C=C2)/C=N/N=C(N)N,Active,53,,,=,4.74,5.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.74,5.324,1.068,4.656,-100,8,-109.091,50,50,-9.091,0,18.182,0,-27.273,-63.636,-54.545,-109.091
