PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
576,49735321,24793663,CCOC(=O)N1CCC(CC1)NC(=O)C2=CC3=C(C=C2)SC4=C(C=CC(=C4C(=N3)C)C)C,Active,55,,,=,3.05,5.516,2,55,,=,3.05,5.516,1.632,0,-100,12,-109.293,35,35,-5.905,1.258,-3.388,-45.018,-56.2,-80.283,-99.409,-109.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,99495581,151582,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2C[C@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,Active,54,,,=,3.77,5.424,2,54,,=,3.77,5.424,4,-25,-118.165,12,-118.355,35,35,-46.3,-34.296,-20.892,,,-114.626,-117.122,-118.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,22408552,2471183,C1=CC(=CC=C1/C=C\2/C(=O)N(C(=O)S2)CCNC(=O)C3=NC=CN=C3)OC(F)F,Active,48,,,=,15.46,4.811,2,48,,=,15.46,4.811,1.066,-13.618,-100,16,-70.181,35,35,-15.547,-18.486,-15.079,-22.488,-29.239,-41.092,-63.626,-70.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,85200730,44201852,C=CCC[C@@H](CC1=CC=C(C=C1)F)C(=O)OC[C@@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC=C)CC(=O)N(CCO)CC4=CC=CC=C4,Active,50,,,=,10.86,4.964,2,50,,=,10.86,4.964,1.565,-2.011,-100,14,-67.288,16,16,2.332,-3.631,-8.007,-9.433,-21.17,-36.519,-67.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,49645769,24747342,CC(C)(C)OC(=O)N(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2,Active,64,,,=,0.379,6.421,2,64,,=,0.379,6.421,0.5,0,-129.623,16,-117.17,35,35,-59.694,-69.996,-77.473,-92.021,-99.697,-106.263,-112.523,-117.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,121283339,72810,C1=CC2=C(C3=C(C=CC=N3)C(=O)C2=O)N=C1,Active,55,,,=,3.32,5.479,2,55,,=,3.32,5.479,2.938,0.039,-132.085,16,-130.162,35,35,1.941,-4.524,-0.137,-29.895,-85.105,-127.684,-129.543,-130.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,124755201,53301046,COC(=O)[C@]12CCCCC=C1N(C(=O)[C@@H](C2)CC(=O)N3CCN(CC3)C(=O)C4=CC=CO4)CC5=CC=CC6=CC=CC=C65,Active,58,,,=,1.59,5.799,2,58,,=,1.59,5.799,1.693,-7.209,-122.164,16,-125.334,35,35,-15.131,-18.39,-40.996,-83.247,-100.734,-110.301,-120.588,-125.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,22401915,15944833,C1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)Cl)C3=CN4C=CC=NC4=N3,Active,44,,,=,43.47,4.362,2,44,,=,43.47,4.362,1.427,-10.157,-100,13,-47.816,35,35,-10.946,-10.738,-11.154,-11.332,-9.204,-17.764,-28.425,-47.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,26660329,1602469,CCCCCCN(C1=CC=CC=C1)C(=O)CCl,Active,52,,,=,6.26,5.203,2,52,,=,6.26,5.203,4,3.01,-132.683,15,-130.524,35,35,-1.244,4.025,6.916,-4.007,-11.711,-106.108,-130.041,-130.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,49714285,16001253,CC1=CC=C(C=C1)S(=O)(=O)NCC2=CC=C(C=C2)C(=O)N3CCN(CC3)C4=CC=C(C=C4)[N+](=O)[O-],Active,52,,,=,6.91,5.161,2,52,,=,6.91,5.161,1.907,13.456,-118.745,15,-109.393,35,35,20.098,9.501,7.783,-1.412,-23.862,-57.173,-103.437,-109.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,17432668,2295386,COC1=CC2=C(C=C1)C(=O)/C(=C\C3=CC=CS3)/CO2,Inactive,0,,,,,,1,0,,,,,,0,200,12,203.134,4.2,35,34.969,67.431,149.639,191.257,203.134,,201.749,186.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,87335818,11834461,CC1=C(C=C(C=C1)Cl)NC2=C/C(=N\S(=O)(=O)C3=CC=CS3)/C4=CC=CC=C4C2=O,Active,53,,,=,4.82,5.317,2,53,,=,4.82,5.317,2.785,-8.635,-132.846,15,-132.833,35,35,-5.716,-10.525,-11.539,-20.03,-58.48,-109.16,-127.676,-132.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,22416813,2892672,CC1=CC(=NC2=CC=CC=C12)NC3=CC=CC=C3[N+](=O)[O-],Inactive,0,,,,,,1,0,,,,,,-6.3957,-6.3957,16,-17.145,35,35,5.304,-7.971,-11.089,-16.397,0.004,1.803,-5.675,-17.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,49672328,9117011,C1COC2=C(O1)C=CC(=C2)C(=O)NCCC3=CC=CC=C3F,Active,57,,,=,2.18,5.662,2,57,,=,2.18,5.662,2.516,25,-121.268,12,-126.262,35,35,,,20.687,-55.161,-87.377,-112.529,-123.738,-126.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,99358653,46903432,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#C[C@H](C)O)O[C@H]1CN(C)CC3=CC=C(C=C3)C4=CC=CC=C4)[C@@H](C)CO,Active,52,,,=,6.73,5.172,2,52,,=,6.73,5.172,2.681,-0.644,-100,12,-97.651,16,16,7.115,1.53,-2.886,-14.765,-23.338,-57.992,-97.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,103162580,3301579,C1COCCN1S(=O)(=O)C2=CC=CC(=C2)NC(=O)COC(=O)C3=CC=CO3,Active,42,,,=,62.08,4.207,2,42,,=,62.08,4.207,0.574,16.712,-100,14,-30.439,35,35,8.445,13.862,5.501,3.988,-2.829,-17.338,-19.852,-30.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,849093,6858766,C1=CC=C(C=C1)/C=C(/C=N/N2C(=NN=N2)N)\Br,Active,59,,,=,1.36,5.866,2,59,,=,1.36,5.866,2.979,-23.437,-97.767,15,-102.556,8,35,-24.303,-26.011,-45.897,-76.923,-99.997,-102.556,-98.861,-88.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,17403358,1602831,C1=CC=NC(=C1)NC(=O)CCCN2C(=O)/C(=C/C3=CC(=CC=C3)Br)/SC2=S,Active,52,,,=,5.71,5.243,2,52,,=,5.71,5.243,1.682,-9.367,-140.372,16,-130.989,35,35,-5.966,-14.374,-15.832,-33.528,-55.919,-90.482,-126.749,-130.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,22409699,15945321,COC1=CC=C(C=C1)OC2=C(C=C(C=C2)/C=C/C(=O)C3=CC(=CC=C3)OC)[N+](=O)[O-],Active,48,,,=,14.51,4.838,2,48,,=,14.51,4.838,2.826,0,-100,13,-57.748,16,16,9.592,5.434,5.543,-8.096,-9.423,-12.363,-57.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,85146199,44142143,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CSC=C4,Active,56,,,=,2.56,5.592,2,56,,=,2.56,5.592,2.037,-25,-129.792,15,-128.304,35,35,-27.071,-26.387,-42.652,-66.601,-100.573,-123.096,-126.835,-128.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,26725215,442142,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)C)C(=C)C(=O)O2,Active,61,,,=,0.742,6.13,2,61,,=,0.742,6.13,1.198,0,-138.159,15,-135.207,16,35,-28.315,-56.271,-85.16,-97.334,-131.172,-132.29,-135.207,-133.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,50085505,4127777,CC1=CC=C(C=C1)S(=O)(=O)CCC(=O)C2=CC(=C(C=C2)OC)OC,Active,50,,,=,9.82,5.008,2,50,,=,9.82,5.008,1.776,5.026,-100,13,-73.723,16,16,10.213,6.467,-3.605,-2.554,-14.757,-34.805,-73.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,22414991,9654636,CCCCCC(=O)N/N=C(\C)/C1=CC=C(C=C1)N2CCCCC2,Inactive,0,,,,,,1,0,,,,,,-2.489,100,16,59.706,35,35,-5.215,-0.656,2.078,4.932,0.76,21.718,34.315,59.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,46500378,1795,CCN(C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N)C(C)C,Active,47,,,=,20.94,4.679,2,47,,=,20.94,4.679,1.333,-1.552,-100,16,-65.952,35,35,0.681,-4.897,-3.435,-10.245,-3.334,-26.982,-42.669,-65.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,24780026,6900443,C1CC2=CC=C(C3=CC=CC1=C23)C4=NNC(=C4)C(=O)N/N=C/C5=CC(=C(C=C5)Cl)[N+](=O)[O-],Active,55,,,=,3.25,5.488,2,55,,=,3.25,5.488,3.082,-11.77,-100,12,-106.289,8,8,-6.25,-10.465,-21.01,-31.534,-67.624,-106.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,46500354,6604176,CC1=C(C2=C3N1[C@@H](COC3=CC=C2)CN4CCOCC4)C(=O)C5=CC=CC6=CC=CC=C65.CS(=O)(=O)O,Active,51,,,=,8.77,5.057,2,51,,=,8.77,5.057,3.989,-3.108,-130.294,15,-128.094,35,35,-3.539,-2.875,-1.599,-1.872,-13.347,-52.298,-121.963,-128.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,56317162,24979685,CN1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)N3CCCCC3)NC(=O)/C=C/C4=CC(=C(C=C4)Cl)[N+](=O)[O-],Active,49,,,=,12.62,4.899,2,49,,=,12.62,4.899,4,0.363,-100,14,-76.134,16,16,-5.45,0.625,-2.619,2.134,2.694,-7.531,-76.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,47198939,779573,CC1=CC(=CC=C1)N2C(=O)C(=C(C=N2)Cl)Cl,Active,53,,,=,5.11,5.292,2,53,,=,5.11,5.292,2.342,2.547,-138.715,16,-133.833,16,35,8.448,1.42,-5.216,-15.51,-49.598,-102.366,-133.833,-133.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,85268512,4852862,C1=CSC(=C1C(=O)N)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active,54,,,=,3.8,5.42,2,54,,=,3.8,5.42,3.183,-0.243,-118.817,16,-119.19,16,35,-2.729,-0.297,0.611,-15.859,-69.288,-107.374,-119.19,-118.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,22416927,9586357,C1=CC(=CC(=C1)S(=O)(=O)O/N=C(/C2=CC=NC=C2)\N)[N+](=O)[O-],Inactive,0,,,,,,1,0,,,,,,0.271,100,14,11.881,35,35,-1.933,-0.05,-1.751,7.467,0.423,1.567,-0.095,11.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,85146202,44142146,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=CN4,Active,55,,,=,2.96,5.529,2,55,,=,2.96,5.529,2.189,-14.458,-127.171,16,-128.134,35,35,-11.098,-21.152,-24.113,-49.518,-92.284,-116.1,-122.291,-128.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,56463468,5287620,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,0,-125.394,-125.394,16,-127.234,8,35,-123.064,-125.368,-125.196,-125.816,-126.971,-127.234,-126.618,-122.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,22417028,56642843,CC1=CC(=C(N1C2=CC=C(C=C2)F)C)/C=N/NC3=NN=C(N3N)C.Cl,Inactive,0,,,,,,1,0,,,,,,-3.162,100,16,19.638,35,35,0.92,-2.582,-4.183,-5.849,-2.304,-3.08,5.488,19.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,50086487,24856284,CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)N2CCCCC2)C(=O)N(CC)CC(=O)NC3=C(C=CC=C3F)F,Active,55,,,=,3.02,5.52,2,55,,=,3.02,5.52,1.479,3.295,-124.331,16,-121.65,35,35,2.407,-7.587,-19.295,-39.56,-79.309,-98.802,-113.394,-121.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,24817011,1487004,C1COCCN1C(=O)C2=C(SN=N2)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,52,,,=,6.05,5.218,2,52,,=,6.05,5.218,4,3.593,-125.617,16,-129.274,35,35,0.43,8.891,4.388,-2.349,-18.96,-95.535,-118.342,-129.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,85146190,44142136,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)Br,Active,56,,,=,2.75,5.561,2,56,,=,2.75,5.561,1.711,-21.024,-130.82,16,-127.604,35,35,-19.493,-27.758,-43.308,-57.998,-96.596,-117.332,-126.165,-127.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,22404392,1736294,CCOC(=O)C1=C(NC2=C1C3=CC=CC=C3C(=O)C2=O)C,Active,60,,,=,1.05,5.979,2,60,,=,1.05,5.979,2.752,-7.231,-127.124,16,-126.662,4.2,35,-3.697,-30.419,-57.195,-116.921,-126.662,-125.565,-125.578,-124.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,26659981,135414178,CC1=C2C=CC(=CC2=NC(=N1)NC3=NC(=CC(=O)N3)C4=CC=CC=C4)OC,Active,56,,,=,2.61,5.583,2,56,,=,2.61,5.583,4,-14.37,-119.82,14,-123.787,8,35,-18.643,-8.893,-18.4,-41.165,-112.034,-123.787,-115.806,-117.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,103050537,2432881,C1CC(C1)C(=O)OCC(=O)NC2=CC=C(C=C2)C#N,Active,47,,,=,21.68,4.664,2,47,,=,21.68,4.664,4,-9.854,-100,12,-94.918,35,35,-15.784,-8.95,-2.823,-13.187,-9.647,,-28.154,-94.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,24841193,4961737,C1=C2C(=CC(=C1NC(=O)CCl)Br)NC(=O)N2,Active,54,,,=,3.95,5.403,2,54,,=,3.95,5.403,1.817,-5.071,-131.227,16,-126.754,35,35,-4.885,-9.539,-13.629,-36.34,-71.351,-102.279,-125.491,-126.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,24801057,5338360,C1OC2=C(O1)C=C(C=C2)/C=N/NC3=CC=C(C=C3)C(=O)O,Active,55,,,=,3.04,5.517,2,55,,=,3.04,5.517,3.615,25,-100,12,-119.594,35,35,,,85.756,-13.118,-61.83,-98.088,-114.345,-119.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,49681552,23581792,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7.O.Cl,Active,61,,,=,0.844,6.074,2,61,,=,0.844,6.074,0.839,0,-124.127,15,-117.973,35,35,-32.58,-46.37,-71.672,-81.548,-96.429,-109.037,-116.133,-117.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,17506796,2971841,CCCCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)OC)[N+](=O)[O-],Inactive,0,,,,,,1,0,,>,70,4.155,0.5,0,-100,15,-19.355,35,35,3.101,-4.375,-2.259,-5.738,-12.611,-19.21,-16.823,-19.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,17503730,1920377,CC1=CC=C(C=C1)N(C(=O)CCl)NC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O,Active,51,,,=,8.18,5.087,2,51,,=,8.18,5.087,4,-1.672,-134.176,13,-130.743,35,35,2.005,-2.483,-5.119,-2.839,-6.122,,-129.94,-130.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,49721823,16446684,C1=CC=C(C=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=CC=C(C=C3)F)Cl,Active,50,,,=,10.37,4.984,2,50,,=,10.37,4.984,3.914,-10.462,-132.399,16,-130.562,35,35,-8.045,-11.447,-10.348,-7.034,-20.347,-41.16,-114.754,-130.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,26725257,72402,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)O,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,0,-121.885,-121.885,16,-126.34,1,35,-109.945,-120.173,-126.34,-126.246,-125.206,-121.599,-123.875,-121.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,17432349,2955612,CC1=CC=C(O1)CCC2=NN=C(N2C3=CC=CC=C3)SCC(=O)NC4=CC(=CC=C4)Cl,Active,46,,,=,25.41,4.595,2,46,,=,25.41,4.595,1.249,2.835,-100,13,-55.217,35,35,-0.167,-1.605,5.634,-1.87,-0.98,-16.901,-39.986,-55.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,103060229,49786474,COC1=C(C=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC=CC=C4OC)OC,Active,58,,,=,1.55,5.81,2,58,,=,1.55,5.81,0.741,0,-129.42,16,-118.425,35,35,-32.305,-34.339,-51.927,-74.782,-87.299,-102.033,-107.184,-118.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,17515567,7207098,C1=COC(=C1)C2=NN=C(C=C2)SCC3=CC=C(C=C3)F,Inactive,0,,,,,,1,0,,,,,,0,147.98,14,148.616,16,35,9.804,19.348,45.977,93.135,121.783,129.08,148.616,146.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,49724927,1363648,C1=CC=C(C=C1)C2=NC(=CC(=N2)C(F)(F)F)C3=C(C=CC(=C3)[N+](=O)[O-])O,Active,61,,,=,0.811,6.091,2,61,,=,0.811,6.091,4,7.539,-125.282,15,-126.599,35,35,4.141,-5.809,-88.771,-121.143,-124.21,-126.244,-124.656,-126.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,17510006,12005068,COC1=CC=C(C=C1)N2N=C(C(=NCC3=CN=CC=C3)N2O)[N+](=O)[O-],Inactive,0,,,,,,1,0,,,,,,-25,100,12,34.947,35,35,-33.767,-19.002,-21.058,-22.144,-0.484,1.065,7.454,34.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,50085962,6426773,CC[C@H]([C@@H]1[C@H](C[C@@](O1)(CC)[C@H]2CC[C@@]([C@@H](O2)C)(CC)O)C)C(=O)[C@@H](C)[C@H]([C@H](C)CCC3=C(C(=C(C=C3)C)O)C(=O)[O-])O.[Na+],Active,55,,,=,3.52,5.453,2,55,,=,3.52,5.453,1.697,-3.599,-128.496,16,-125.62,35,35,-0.493,-13.238,-17.197,-38.618,-75.64,-104.255,-119.563,-125.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,85199188,4791406,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(S2)[N+](=O)[O-])S(=O)(=O)N3CCOCC3,Active,54,,,=,3.94,5.405,2,54,,=,3.94,5.405,1.465,-5.808,-100,12,-78.859,8,8,-3.917,-12.545,-19.429,-32.771,-51.108,-78.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,49717039,6266497,COC1=CC=CC(=C1)/C=C/2\C(=O)NC3=C(S2)C=CC(=C3)C(=O)NCCN4CCCCCC4,Active,50,,,=,10.1,4.996,2,50,,=,10.1,4.996,4,0,-100,12,-113.952,35,35,-2.308,0.423,2.875,0.039,-2.381,-27.569,,-113.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,22416841,845224,CC1=CC(=CC=C1)OCC2=NC(=NO2)C3=CN=CC=C3,Inactive,0,,,,,,1,0,,,,,,13.825,100,12,112.224,16,16,13.699,10.308,14.264,20.215,33.698,89.614,112.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,121283936,51359471,CCOC1=CC=C(C=C1)CCN2[C@H](CN(C2=S)[C@@H](CC3=CC=C(C=C3)O)CN4CCC[C@@H]4CN5[C@H](CNC5=S)CC(C)C)CC6=CC=C(C=C6)O,Active,51,,,=,8.84,5.054,2,51,,=,8.84,5.054,4,-17.033,-100,13,-99.333,16,16,-16.302,-14.78,-9.868,-23.221,-31.624,-46.919,-99.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,92763827,3711067,COC1=CC(=O)C2=C(C1=O)C=CC3=C2C(=NC=N3)N,Active,60,,,=,1.06,5.975,2,60,,=,1.06,5.975,3.629,-7.536,-133.826,15,-135.415,35,35,-9.333,-13.918,-64.732,-123.602,-130.609,-133.963,-134.603,-135.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,121283022,332905,CC1=CC(=NC2=CC=CC=C12)NN=C(C)C3=CC=CC=N3,Active,51,,,=,7.4,5.131,2,51,,=,7.4,5.131,4,16.271,-91.128,12,-94.628,35,35,9.225,10.935,21.888,18.45,11.732,-47.532,-77.36,-94.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,103073844,49789410,COC1=CC(=CC(=C1OC)OC)C2=CN=C3N2C=C(C=C3NC=O)C4=CC=CC=C4,Active,56,,,=,2.79,5.554,2,56,,=,2.79,5.554,1.025,-25,-100,14,-96.136,16,16,-38.94,-39.369,-39.994,-57.758,-66.504,-80.94,-96.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,49666678,670679,C1CCN(CC1)C(=O)C2=CC=CC=C2C(=O)CC3=CC=CC=C3,Inactive,0,,,,,,1,0,,>,70,4.155,0.5,11.176,-100,13,-4.222,16,35,11.153,8.966,11.503,4.872,-0.327,,-4.222,-4.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,89853542,3431315,C1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)Cl)NC(=O)C3=CC=CC=C3NS(=O)(=O)C4=CC=C(C=C4)F,Active,53,,,=,5.08,5.294,2,53,,=,5.08,5.294,2.375,-1.181,-127.087,15,-124.657,35,35,-1.133,-0.986,-3.631,-16.053,-49.583,-94.949,-120.847,-124.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,851517,654092,C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)C4=C(C3=NO)C=C(C=C4)S(=O)(=O)N5CCCCC5,Active,61,,,=,0.871,6.06,2,61,,=,0.871,6.06,3.922,-10.696,-131.548,15,-132.415,35,35,-11.669,-23.089,-86.9,-128.275,-129.842,-131.405,-131.863,-132.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,24809724,2892697,CC1=CC2=C(C=C(N=C2C=C1)C)NC3=CC=C(C=C3)[N+](=O)[O-],Active,53,,,=,5.33,5.273,2,53,,=,5.33,5.273,3.792,-11.202,-116.823,15,-122.222,16,35,-6.775,-10.386,-15.672,-15.367,-41.494,-97.856,-122.222,-113.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,24808531,5735198,CN1C2=CC=CC=C2N=C1/C=C/C3=CC=C(C=C3)OC,Active,52,,,=,6.69,5.175,2,52,,=,6.69,5.175,2.608,25,-116.06,12,-117.407,35,35,33.466,45.449,49.657,,-6.758,-62.805,-98.345,-117.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,49733776,1256424,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])C(=O)C4=CC=CS4,Active,57,,,=,1.96,5.708,2,57,,=,1.96,5.708,1.916,13.302,-124.668,16,-123.41,35,35,12.711,-0.942,-12.029,-64.177,-94.587,-118.765,-122.274,-123.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
