PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
566,49815861,9541651,CC1=C(C2=C(O1)C3=CC=CC=C3C(=C2)NS(=O)(=O)C4=CC=C(C=C4)C(=O)O)C(=O)OC,Active,47,,,=,22.61,4.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,22.61,4.646,1.057,3.718,-100,16,-50.11,26,26,0.31,5.957,-0.078,6.235,-1.062,-0.65,-27.514,-50.11
567,92764077,97167,C1=CC(=C(C=C1O)O)N=NC2=C(C(=CC(=C2)Cl)S(=O)(=O)O)O,Active,56,,,=,2.44,5.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.44,5.613,0.709,-3.969,-100,16,-84.405,26,26,-6.514,-9.725,-11.128,-20.811,-36.389,-56.034,-70.133,-84.405
568,22413014,1206957,CC1=C(C(=CC=C1)C)OCC2=NC3=CC=CC=C3N2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.34204,5.34204,15,9.139,0.1,26,6.348,8.501,9.139,8.868,1.139,5.964,0.946,3.73
569,24826075,4136929,COC1=CC2=NC3=C(C=CC=C3OC)N=C2C=C1,Active,46,,,=,23.09,4.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,23.09,4.637,0.788,4.956,-100,15,-49.064,26,26,3.923,3.021,3.587,3.122,-0.743,-12.691,-29.551,-49.064
570,24808782,3114024,CC(C)(C)NC(=O)C(=O)NN=C1CCCCCCCCCCC1,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.81683,-1.81683,16,-9.622,8,26,-0.658,0.74,-0.072,3.934,-3.184,1.126,-9.622,-6.799
571,49669728,24761511,C1CN(CCN1C2=CC=CC(=C2)C(F)(F)F)C3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])C(=O)O.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.47444,2.47444,16,5.707,0.011,26,5.707,3.587,4.393,4.584,2.944,2.111,-0.027,-3.504
572,47199357,2853539,C1COCCN1CCNC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.34338,5.34338,16,10.755,0.3,26,7.709,8.275,6.642,10.755,3.245,6.789,-3.424,2.756
573,16952410,1589731,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SC4=NC=NN4,Active,60,,,=,0.998,6.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,0.998,6.001,1.729,0.646,-95.32,15,-98.308,26,26,-0.678,-7.052,0.998,-4.818,-47.411,-77.598,-91.74,-98.308
574,24781175,11842271,COC(=O)N/N=C/1\C/C(=N/NC(=O)OC)/C2=CC=CC=C12,Active,54,,,=,4.22,5.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.22,5.375,1.209,2.026,-100,16,-95.494,26,26,4.227,6.107,-0.496,-4.864,-17.621,-31.902,-67.305,-95.494
575,24794741,1742917,CCOC1=C(C=CC(=C1[N+](=O)[O-])/C=C\2/C(=O)NC(=S)S2)O,Active,54,,,=,4.1,5.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.1,5.387,1.387,-2.904,-100,15,-97.516,26,26,-4.077,-0.612,-2.95,-5.519,-16.208,-38.591,-70.661,-97.516
576,89855372,10709,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],Active,49,,,=,12.33,4.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.33,4.909,1.194,3.453,-100,16,-70.317,26,26,4.478,2.793,3.357,2.544,-2.198,-11.862,-34.626,-70.317
577,7971719,3651146,C1CCC2=C(C1)C3=C(N2)C=CC(=C3)CNC(=O)CCC(=O)O,Active,46,,,=,25.61,4.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,25.61,4.592,1.694,-0.775,-100,15,-50.967,26,26,-3.14,-5.086,2.541,-1.505,3.306,-3.753,-13.052,-50.967
578,47193948,16727381,C1=CC=C2C(=C1)C=C(NC2=O)NC3=CC=CC=N3,Active,52,,,=,5.89,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.89,5.23,2.092,1.004,-100,15,-99.427,26,26,0.685,6.094,0.892,2.394,-8,-16.473,-63.444,-99.427
579,87349102,661221,CCC(=O)NC1=C(C2=NC3=CC=CC=C3N=C2N1C4=CC=C(C=C4)C)C#N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.811113,0.811113,16,-12.902,26,26,-0.075,-0.823,4.857,4.462,4.944,2.121,3.905,-12.902
580,103060514,9535787,CC1=CC=CC=C1CN(C)C(=O)CNC(=O)C2=CC=C(S2)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.55468,5.55468,16,8.561,0.9,26,2.129,3.973,6.432,5.368,8.561,5.97,7.7,4.305
581,49643655,3204972,CC1=CC(=CC(=C1)N(CC(=O)NC(C)C)C(=O)CCC(=O)NC2=CC=CC=N2)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,7.77,-100,15,-1.049,26,26,7.761,7.436,8.519,5.829,6.328,1.65,-0.055,-1.049
582,24823756,16195564,C1=CC(=C(C=C1F)NC(=O)CSC2=C(SC=C2)[N+](=O)[O-])F,Active,52,,,=,5.74,5.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.74,5.241,0.805,2.505,-100,16,-74.929,26,26,0.599,-1.283,1.909,-5.639,-15.678,-35.789,-56.515,-74.929
583,842874,645150,COC1=CC(=C(C=C1)OC)N(CC(=O)NC2=CC=CC=C2)S(=O)(=O)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.8948,-4.8948,16,-9.151,26,26,-1.932,-3.366,-1.044,-6.708,-7.5,-5.289,-4.167,-9.151
584,26664055,2038551,CN(C)C1=C(C2=NON=C2C(=C1)Cl)N,Active,49,,,=,12.59,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.59,4.9,2.895,5.011,-100,15,-88.649,26,26,1.354,6.08,5.775,6.255,4.623,2.567,-17.082,-88.649
585,49642396,738951,CC1(C=C2C(=NN(C(=C2C#N)N)C3=CC=CC=C3)CO1)C,Active,60,,,=,1.07,5.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,1.07,5.971,2.175,4.299,-100.128,15,-99.758,26,26,4.903,3.351,5.047,-3.312,-37.169,-89.788,-98.616,-99.758
586,24796019,2183366,CCCSC1=N/C(=C\C2=CC=C(O2)[N+](=O)[O-])/C(=O)S1,Active,55,,,=,2.93,5.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,2.93,5.533,0.676,6.315,-100,16,-77.324,26,26,1.488,4.41,-5.212,-9.723,-29.55,-43.357,-68.245,-77.324
587,49648947,3809362,CC(C)N=C(C1=CC=CC=C1)NC2=CN=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.40867,2.40867,16,8.227,0.3,26,-3.222,5.22,5.481,8.227,-2.285,-0.214,2.583,3.478
588,47198237,9585828,CCC1=NN=C(N1N)N/N=C/C2=C(C=C(C(=C2)C)C)C,Active,44,,,=,39.83,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,39.83,4.4,2.379,7.34,-100,13,-21.208,26,26,6.899,9.15,6.716,8.691,5.11,8.951,4.917,-21.208
589,26666847,281416,C1=CC(=CC=C1N=NC2=C(NC(=O)C=C2)O)S(=O)(=O)N,Active,57,,,=,2.07,5.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.07,5.684,0.869,3.222,-100,16,-89.972,26,26,2.224,0.007,-3.868,-12.376,-30.542,-56.473,-74.693,-89.972
590,47201081,889297,C1=CC2=C(C(=C1)NCC3=C(C=CC(=C3)Br)O)N=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.702,0.122,-100,16,-31.955,26,26,-1.31,0.508,-0.666,-0.323,-6.976,-6.691,-18.426,-31.955
591,24841429,638759,C1=CC(=CC=C1C(=O)CCO)O,Active,59,,,=,1.32,5.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.32,5.879,1.438,1.725,-90.958,16,-90.096,26,26,-0.83,1.645,0.748,-6.073,-34.121,-66.382,-84.68,-90.096
592,49714248,5303284,C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N4C=C(C=CC4=NC3=O)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.62391,1.62391,16,-7.332,26,26,3.067,4.842,4.891,5.212,-3.354,4.956,0.711,-7.332
593,57260001,4848408,C1=CC2=C(C=C1NS(=O)(=O)C3=CC(=C(C=C3)O)C(=O)O)NN=C2,Active,50,,,=,11.33,4.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.33,4.946,2.021,0.723,-100,16,-84.838,26,26,2.51,1.059,1.877,-0.274,-1.207,-6.675,-31.767,-84.838
594,56316484,24979394,COCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)C3=CC4=C(S3)CCC4,Active,67,,,=,0.198,6.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,67,,=,0.198,6.703,1.282,5.5,-91.811,16,-93.821,26,26,3.707,-5.706,-20.929,-57.953,-78.697,-86.841,-90.609,-93.821
595,26669772,6511468,C1CCN(CC1)S(=O)(=O)C2=CC=C(S2)/C(=C/C3=CC(=CC=C3)[N+](=O)[O-])/C(=O)O,Active,49,,,=,13.92,4.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.92,4.856,1.322,-0.57,-100,16,-68.77,26,26,-3.211,-0.306,-0.319,-1.118,-1.744,-9.869,-34.661,-68.77
596,49640956,24746796,COC1=CC(=C(C=C1)CN2CCN(CC2)C(=O)C3=CC(=CC=C3)OC)OC.C(=O)(C(=O)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.76106,4.76106,16,7.396,2.85,26,-0.525,4.863,4.8,7.376,5.307,7.396,2.898,5.974
597,24795789,833986,C1=CC(=CC(=C1)OCC2=CC=C(C=C2)F)CNC3=CC=C(C=C3)O,Active,52,,,=,6.29,5.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.29,5.201,1.152,4.941,-100,14,-53.318,8,8,3.92,3.323,4.124,2.982,-2.032,-28.348,-53.318,
598,26730518,9581002,CC1=C(C(=NO1)C2=C(C=C(C=C2)Cl)Cl)C3=CSC(=N3)N/N=C/C4=CC=CC=C4Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.115227,-0.115227,16,-3.938,2.85,26,1.536,-0.885,1.606,-1.562,1.717,-3.938,2.524,-1.919
599,85147439,44143224,CN(C)CCCNC1=CC(=C2C(=C1)C=CC=N2)O.C(=O)(C(F)(F)F)O,Active,54,,,=,3.64,5.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.64,5.439,2.908,2.801,-99.075,15,-98.792,26,26,0.543,3.408,0.461,10.827,1.038,-30.746,-89.627,-98.792
600,26732557,254722,C1=CC(=CC=C1N)OC(=O)NC2=CC=C(C=C2)O,Active,47,,,=,18.72,4.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.72,4.728,1.273,4.459,-100,16,-57.519,26,26,0.51,5.776,4.395,5.018,2.166,-0.774,-24.694,-57.519
601,49643593,3217790,C1CC2CC(CC1N2CC3=CC=CC=C3)NC(=O)C4=CC=CC=C4Br,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.96978,2.96978,16,5.944,0.1,26,-0.783,-0.356,5.944,3.59,4.982,3.548,5.525,1.309
602,24829003,3568006,CC(C(=O)NC1CCCC1)OC(=O)C2=C(C=C(C=C2)SC)OC,Active,46,,,=,24.64,4.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,24.64,4.608,1.138,4.549,-100,16,-48.683,26,26,4.439,3.302,3.826,3.69,3.829,-2.099,-20.019,-48.683
603,49825766,6470055,C1CC(OC1)C(=O)N2CCN(CC2)C(=O)NC3=CC=C(C=C3)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.975936,-0.975936,16,-3.928,26,26,1.102,-0.611,2.122,-1.487,-0.741,-0.812,-3.453,-3.928
604,7969301,5309887,C1CC2C(=O)NC3=C(N2C1)N=CC(=C3)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.133,5.744,-100,16,-22.625,26,26,1.392,5.523,5.609,8.894,6.054,3.768,-5.143,-22.625
605,103075639,49790653,C1C(OC2=NC=CC(=C21)C3=CC4=C(C=C3)OCO4)C(=O)NC5=CC6=C(C=C5)OCO6,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.90634,-2.90634,16,-12.081,26,26,1.347,0.416,2.941,-0.021,-1.201,-4.032,-10.62,-12.081
606,22408580,4543344,C1CS(=O)(=O)CC1NC(=O)COC(=O)C2=CC=C(O2)[N+](=O)[O-],Active,44,,,=,39.69,4.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,39.69,4.401,1.882,2.98,-100,16,-29.013,26,26,-2.101,-0.132,6.058,4.757,6.514,2.105,-1.998,-29.013
607,57260229,16297872,CCOC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NCC(=O)NC3=C(C(=C(C=C3)F)F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.87022,4.87022,16,8.949,0.9,26,0.577,1.631,7.141,4.479,8.949,5.74,6.715,3.729
608,99454262,46942591,CC(C)CNC(=O)C1(CCCCCN1C(=O)C2=CN=CC=C2)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.76425,2.76425,16,5.881,0.011,26,5.881,3.156,5.308,3.846,3.818,2.745,2.796,-5.437
609,89854965,245928,CN1C(=O)C(C(=O)NC1=O)N=NC2=CC=C(C=C2)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.619594,-0.619594,16,-4.057,26,26,1.207,0.551,0.939,-0.255,-0.447,-1.872,-1.022,-4.057
610,85198535,4834963,CCOC(=O)C1=C(NC(=O)NC1C)COC(=O)C2=CC=C(S2)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,1.645,-100,13,-12.302,26,26,-0.643,2.309,0.074,2.435,-2.597,,-7.851,-12.302
611,103159382,49792580,CC(C)NC(=O)C1(CCN1C(=O)C2=CC3=C(C=C2)OCO3)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.84895,3.84895,16,6.759,0.035,26,3.39,6.759,4.241,6.545,3.537,5.374,-1.762,2.708
612,49730358,2892738,C1C=CCC2C1C(=O)N(C2=O)C3=CC=CC(=C3)C(=O)NC4=CC(=CC=C4)Cl,Active,50,,,=,9.42,5.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.42,5.026,0.908,3.951,-100,16,-71.547,26,26,1.848,2.718,4.996,0.845,-8.232,-24.022,-41.818,-71.547
613,121285026,51360387,CCCCN1C(=NN=N1)C(CCSC)N2CCC(CC2)N3C4=CC=CC=C4NC3=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.267987,0.267987,16,-9.481,26,26,3.181,1.481,5.435,0.958,3.776,-1.584,-1.623,-9.481
614,57265368,16279522,CC(C(=O)NC1=CC=CC=C1[N+](=O)[O-])OC(=O)C2=NNC3=CC=CC=C32,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.06951,2.06951,16,5.929,0.1,26,4.566,1.966,5.929,1.336,4.457,1.494,2.41,-5.601
615,49826541,6466593,CC(C(=O)NC1=CC=CC(=C1)C2=NNN=N2)OC3=CC=C(C=C3)F,Active,45,,,=,32.58,4.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,32.58,4.487,1.012,3.104,-100,15,-42.01,26,26,-0.728,4.409,4.8,0.002,1.83,-3.66,-18.664,-42.01
616,57261340,618775,CC(C)C(=O)C1=CC2=C(C(=CC=C2)[N+](=O)[O-])OC1N3CCOCC3,Active,44,,,=,43.72,4.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,43.72,4.359,1.062,4.219,-100,16,-34.112,26,26,6.681,2.947,3.93,3.578,1.453,-1.724,-9.688,-34.112
617,22415007,3578348,CC(CNC1=CC=CC=C1O)C(=O)O,Active,55,,,=,3.52,5.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.52,5.453,0.883,-0.804,-100,16,-83.618,26,26,-2.564,-3.649,-2.381,-10.446,-24.438,-45.207,-69.22,-83.618
618,24840609,73677,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3C)O)C(=O)OC4O)C=O)OC,Active,61,,,=,0.817,6.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,,=,0.817,6.088,1.511,0.522,-78.142,15,-88.015,8,26,1.507,-0.529,-2.295,-15.809,-39.765,-67.937,-88.015,-72.268
619,89855395,247351,C1=CC=C(C=C1)C2(C(C(=O)C3=CC=CC=C32)C(=O)N)C[N+](=O)[O-],Active,44,,,=,38.09,4.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,38.09,4.419,1.107,2.039,-100,16,-38.45,26,26,3.431,0.831,2.719,0.855,-0.052,-3.478,-13.1,-38.45
620,24809538,1257598,CC1=C(C(=NN1)S(=O)CC(=O)O)[N+](=O)[O-],Active,54,,,=,4.04,5.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.04,5.394,0.943,2.641,-100,15,-81.62,26,26,2.972,-0.041,-0.345,-4.771,-17.037,-40.236,-66.035,-81.62
621,47204251,235224,CN1CCC2=CC3=C(C4=C2C1CC5=CC=CC=C54)OCO3,Active,54,,,=,3.68,5.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.68,5.434,2.121,1.347,-95.166,15,-93.709,26,26,-0.208,-0.586,3.959,1.827,-3.399,-34.231,-79.509,-93.709
622,103163523,49795789,CCC(=O)N1CCC1(C)C(=O)NC2=CC=CC3=C2N=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.05037,2.05037,16,-15.967,26,26,-0.143,3.354,5.894,6.7,6.222,4.669,5.675,-15.967
623,57264899,4878034,CC(C(=O)NCC1CCCCC1)OC(=O)C2=CC(=CC=C2)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.02622,3.02622,16,6.924,8,26,-0.686,-0.224,5.439,2.71,6.064,3.543,6.924,0.44
624,51090496,16812889,C1CN(C2=CC=CC=C21)C(CNC(=O)C3=CC(=CC=C3)[N+](=O)[O-])C4=CC=CO4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.36448,-1.36448,16,-8.544,8,26,-2.206,2.219,1.808,4.363,-2.412,1.626,-8.544,-7.769
625,56462846,5019976,C1CCC(C(C1)C(=O)NC2=CC(=CC=C2)Br)C(=O)O,Active,62,,,=,0.669,6.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,,=,0.669,6.175,1.173,2.642,-95.754,16,-94.706,26,26,1.479,-0.756,-5.994,-24.604,-56.601,-78.469,-91.495,-94.706
626,22416285,199799,CC1CCCC(N1C(=O)C2CCCCC2)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-14.6548,-14.6548,16,-21.496,26,26,-10.637,-11.109,-11.254,-13.38,-14.639,-16.785,-17.938,-21.496
627,103163186,49795546,COC1=CC=CC(=C1)C(C2=CC=CC=N2)NC(=O)C3CCN(CC3)CCCOC4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.22358,4.22358,15,6.936,0.9,26,-1.76,3.915,3.893,6.85,6.936,4.928,5.425,3.437
628,49718653,20881176,CC(C)CCN1C(=O)C2=CC=CC=C2N3C1=NN=C3CCC(=O)NCC4CCCO4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.62065,4.62065,16,8.236,0.035,26,1.947,8.236,6.712,6.811,7.409,8.216,-0.035,-2.332
629,49825712,593655,CCOC(=O)C1CCCN(C1)S(=O)(=O)C2=NN3C(=CC(=NC3=N2)C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.25818,2.25818,16,6.376,0.035,26,2.397,6.376,3.214,6.094,1.346,3.197,-1.528,-3.03
